Tilda UID;Название;№ фото;Файл;Full URL;Thumbnail URL;Full bytes;Thumbnail bytes;Full size;Thumbnail size
186584100092;Tom Ford Rose d'Amalfi;1;186584100092-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-full/186584100092-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-thumbs/186584100092-01.webp;11984;4260;658x877;360x480
186800461132;Marc-Antoine Barrois Ganymede;1;186800461132-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-full/186800461132-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-thumbs/186800461132-01.webp;12624;4324;658x877;360x480
189066317472;La Sultane de Saba D`Udaipur Musc Encens Vanille;1;189066317472-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-full/189066317472-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-thumbs/189066317472-01.webp;39418;10690;658x877;360x480
190916050872;Osmassino Emotions;1;190916050872-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-full/190916050872-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-thumbs/190916050872-01.webp;7590;3290;658x877;360x480
193339133981;"Сет клонов ""Табачно-ванильный"" 4 х 5 ml";1;193339133981-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-full/193339133981-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-thumbs/193339133981-01.webp;30982;7230;900x1200;360x480
193339133981;"Сет клонов ""Табачно-ванильный"" 4 х 5 ml";2;193339133981-02.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-full/193339133981-02.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-thumbs/193339133981-02.webp;37416;4916;880x1200;352x480
195537363841;Kilian Kisses don't lie;1;195537363841-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-full/195537363841-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-thumbs/195537363841-01.webp;28772;5514;900x1200;360x480
197011332642;Tom Ford Fucking Fabulous;1;197011332642-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-full/197011332642-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-thumbs/197011332642-01.webp;6448;2648;658x877;360x480
200768053821;Al Wataniah Marjaan;1;200768053821-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-full/200768053821-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-thumbs/200768053821-01.webp;20334;5526;787x1049;360x480
201074300822;Guerlain Shalimar L'Essence;1;201074300822-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-full/201074300822-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-thumbs/201074300822-01.webp;22716;8820;658x877;360x480
206518121581;Pierre Guillaume Liqueur Charnelle;1;206518121581-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-full/206518121581-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-thumbs/206518121581-01.webp;9212;3548;699x932;360x480
207147863711;Montale Ristretto Intense Cafe;1;207147863711-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-full/207147863711-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-thumbs/207147863711-01.webp;15218;5182;715x954;360x480
207177805651;HFC Wear love everywhere;1;207177805651-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-full/207177805651-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-thumbs/207177805651-01.webp;30152;7492;704x939;360x480
207496151542;Montale Bubble forever;1;207496151542-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-full/207496151542-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-thumbs/207496151542-01.webp;9414;3440;658x877;360x480
209451283582;Guerlain Oud Nude;1;209451283582-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-full/209451283582-01.webp;https://raw.githubusercontent.com/nikitabratischev/files/main/catalog-images/catalog-thumbs/209451283582-01.webp;20696;6432;658x877;360x480
